song_title,composer
Yeke yeke,Miguel Wiels
Yeke yeke,Peter Gillis
Yeke yeke,Alain Vande Putte
Wat ik wil,Marc Paelinck
Wat ik wil,Ronald Buersens
Wat ik wil,Dennis Peirs
Heyah mama,Miguel Wiels
Heyah mama,Peter Gillis
Heyah mama,Alain Vande Putte
Op elkaar,Miguel Wiels
Op elkaar,Peter Gillis
Op elkaar,Alain Vande Putte
Parels,Miguel Wiels
Parels,Peter Gillis
Parels,Alain Vande Putte
I Love You Baby,Miguel Wiels
I Love You Baby,Peter Gillis
I Love You Baby,Alain Vande Putte
Ik kom tot leven,Miguel Wiels
Ik kom tot leven,Peter Gillis
Ik kom tot leven,Alain Vande Putte
Altijd van je dromen,Miguel Wiels
Altijd van je dromen,Peter Gillis
Altijd van je dromen,Alain Vande Putte
Geen tweede keer,Marc Paelinck
Geen tweede keer,Ronald Buersens
Geen tweede keer,Dennis Peirs
Zonder jou,Marc Paelinck
Zonder jou,Ronald Buersens
Zonder jou,Dennis Peirs
Oh ja,Miguel Wiels
Oh ja,Peter Gillis
Oh ja,Alain Vande Putte
Alle kleuren,Miguel Wiels
Alle kleuren,Peter Gillis
Alle kleuren,Alain Vande Putte
Hippie shake,Miguel Wiels
Hippie shake,Peter Gillis
Hippie shake,Alain Vande Putte
Yippee yippee,Miguel Wiels
Yippee yippee,Peter Gillis
Yippee yippee,Alain Vande Putte
Leonardo,Miguel Wiels
Leonardo,Peter Gillis
Leonardo,Alain Vande Putte
Oma's aan de top,Miguel Wiels
Oma's aan de top,Peter Gillis
Oma's aan de top,Alain Vande Putte
"1, 2, Doe met me mee",Miguel Wiels
"1, 2, Doe met me mee",Peter Gillis
"1, 2, Doe met me mee",Alain Vande Putte
Miljoen,Miguel Wiels
Miljoen,Peter Gillis
Miljoen,Alain Vande Putte
Laat de wind maar waaien,Miguel Wiels
Laat de wind maar waaien,Peter Gillis
Laat de wind maar waaien,Alain Vande Putte
Om te dromen,Miguel Wiels
Om te dromen,Peter Gillis
Om te dromen,Alain Vande Putte
Ik schreeuw het van de daken,Miguel Wiels
Ik schreeuw het van de daken,Peter Gillis
Ik schreeuw het van de daken,Alain Vande Putte
Jongens zijn gek!,Miguel Wiels
Jongens zijn gek!,Peter Gillis
Jongens zijn gek!,Alain Vande Putte
Doe maar,Miguel Wiels
Doe maar,Peter Gillis
Doe maar,Alain Vande Putte
Tele-Romeo,Miguel Wiels
Tele-Romeo,Peter Gillis
Tele-Romeo,Alain Vande Putte
Mama's en papa's,Miguel Wiels
Mama's en papa's,Peter Gillis
Mama's en papa's,Alain Vande Putte
Keileuke zomer,Miguel Wiels
Keileuke zomer,Peter Gillis
Keileuke zomer,Alain Vande Putte
Ali Baba,Miguel Wiels
Ali Baba,Peter Gillis
Ali Baba,Alain Vande Putte
Blijven staan,Miguel Wiels
Blijven staan,Peter Gillis
Blijven staan,Alain Vande Putte
Je hebt een vriend,Miguel Wiels
Je hebt een vriend,Peter Gillis
Je hebt een vriend,Alain Vande Putte
Baby Come Back,Miguel Wiels
Baby Come Back,Peter Gillis
Baby Come Back,Alain Vande Putte
Chacha loco,Miguel Wiels
Chacha loco,Peter Gillis
Chacha loco,Alain Vande Putte
Hand in hand,Miguel Wiels
Hand in hand,Peter Gillis
Hand in hand,Alain Vande Putte
Jupiter,Miguel Wiels
Jupiter,Peter Gillis
Jupiter,Alain Vande Putte
Honingbeer,Miguel Wiels
Honingbeer,Peter Gillis
Honingbeer,Alain Vande Putte
Iedereen is anders,Miguel Wiels
Iedereen is anders,Peter Gillis
Iedereen is anders,Alain Vande Putte
Feest,Miguel Wiels
Feest,Peter Gillis
Feest,Alain Vande Putte
Papapa,Miguel Wiels
Papapa,Peter Gillis
Papapa,Alain Vande Putte
SMS,Miguel Wiels
SMS,Peter Gillis
SMS,Alain Vande Putte
Verliefd,Miguel Wiels
Verliefd,Peter Gillis
Verliefd,Alain Vande Putte
Hollywood,Miguel Wiels
Hollywood,Peter Gillis
Hollywood,Alain Vande Putte
Samen feesten,Miguel Wiels
Samen feesten,Peter Gillis
Samen feesten,Alain Vande Putte
Als het regent,Miguel Wiels
Als het regent,Peter Gillis
Als het regent,Alain Vande Putte
Noodkreet,Miguel Wiels
Noodkreet,Peter Gillis
Noodkreet,Alain Vande Putte
Beautiful Boy,Miguel Wiels
Beautiful Boy,Peter Gillis
Beautiful Boy,Alain Vande Putte
Je doet maar wat,Miguel Wiels
Je doet maar wat,Peter Gillis
Je doet maar wat,Alain Vande Putte
Letter V,Miguel Wiels
Letter V,Peter Gillis
Letter V,Alain Vande Putte
Happy Birthday,Miguel Wiels
Happy Birthday,Peter Gillis
Happy Birthday,Alain Vande Putte
Eeuwig en altijd,Miguel Wiels
Eeuwig en altijd,Peter Gillis
Eeuwig en altijd,Alain Vande Putte
De Wereld van K3,Miguel Wiels
De Wereld van K3,Peter Gillis
De Wereld van K3,Alain Vande Putte
Oya lélé,Miguel Wiels
Oya lélé,Peter Gillis
